network_latency_ms,packet_loss_pct,network_jitter_ms,gateway_latency_ms,gateway_failure_rate_pct,gateway_timeout_rate_pct,bank_latency_ms,bank_failure_rate_pct,bank_timeout_rate_pct,error_code_category,is_timeout_flag,true_network_degradation,true_gateway_degradation,true_bank_degradation
481.79,4.134,34.82,87.03,0.1542,0.2448,236.79,0.1261,1.7003,1,0,61.35,17.76,12.81
28.2,0.3679,6.07,103.15,0.1694,0.1898,604.22,1.0075,1.8209,3,0,3.85,15.94,48.73
63.31,0.3814,11.39,52.54,0.1951,0.2558,745.87,1.2875,2.9563,3,1,7.52,19.88,77.84
22.92,0.6002,5.78,74.15,0.0968,0.2717,607.34,1.1951,2.7468,3,1,4.85,15.13,66.12
81.91,0.5408,13.74,1043.22,0.3769,0.4432,329.14,0.1139,1.0903,2,1,10.24,80.86,8.06
114.3,0.4287,5.76,72.66,0.1779,0.1996,569.38,0.7043,2.1367,3,1,9.19,15.98,46.31
46.16,0.4728,5.56,690.57,0.4797,0.3281,296.04,0.2712,1.606,2,0,5.39,67.3,16.95
527.01,1.1766,23.53,265.9,0.3524,0.3194,373.14,0.1904,1.0777,2,0,43.04,42.34,11.44
36.73,0.1495,4.03,92.49,0.1388,0.2642,959.89,1.375,2.1051,3,1,2.46,18.15,77.34
13.67,0.0852,5.91,420.31,0.2521,0.4591,357.13,0.145,1.6732,2,1,1.63,50.18,18.76
564.57,4.2886,30.66,79.36,0.0618,0.1131,307.19,0.2188,1.1309,0,1,65.95,3.08,9.44
30.36,0.4709,12.69,70.02,0.1149,0.2922,803.04,1.3087,2.6591,3,1,6.49,17.46,76.62
27.48,0.0365,5.64,776.78,0.3533,0.3728,213.76,0.1045,1.3676,0,1,1.7,64.9,6.28
21.97,0.4993,12.22,126.22,0.1731,0.1833,516.7,1.2408,2.5786,3,1,6.03,16.65,59.89
20.79,0.4255,2.06,76.71,0.0687,0.181,593.41,1.0825,2.4524,3,1,2.62,7.69,59.0
88.16,0.1314,5.14,80.44,0.1242,0.2931,820.7,1.4712,2.6272,3,1,5.69,18.53,79.93
327.6,2.5233,47.4,98.85,0.1239,0.2383,377.64,0.2375,1.5344,1,0,46.21,15.78,19.35
294.1,3.5567,36.26,103.04,0.114,0.2751,345.43,0.1496,1.7715,0,0,47.25,17.57,19.73
30.72,0.0373,7.43,138.03,0.1147,0.2227,506.87,1.0649,2.7821,0,1,2.41,15.66,59.31
332.7,3.5418,28.14,100.95,0.1401,0.1234,261.49,0.1389,1.5923,1,0,47.11,9.75,12.65
781.73,3.5954,59.92,128.05,0.1753,0.2874,251.72,0.1239,1.7006,1,1,82.93,23.37,13.52
54.12,0.4655,4.15,916.82,0.2044,0.4151,348.4,0.1514,1.0115,2,1,5.41,62.87,8.51
536.6,2.6823,43.22,123.35,0.1693,0.1202,209.5,0.2051,1.0998,1,1,58.26,12.34,3.85
19.82,0.0579,2.61,514.76,0.2394,0.3194,288.07,0.1209,1.363,2,0,0.52,44.14,10.22
26.29,0.7351,8.42,1266.95,0.3881,0.4651,203.69,0.2941,1.3651,2,1,6.61,90.36,9.13
46.98,0.0769,2.6,128.25,0.053,0.2505,497.07,1.3555,2.2318,3,1,2.22,12.92,55.75
658.55,1.9805,46.7,123.61,0.1009,0.1814,315.05,0.2284,1.151,1,1,62.22,11.62,10.31
46.3,0.1266,11.54,346.43,0.2533,0.4874,256.77,0.2388,1.7463,0,1,5.03,49.26,16.51
