action_label,network_generation,network_latency_ms,packet_loss_pct,network_jitter_ms,gateway_latency_ms,gateway_failure_rate_pct,gateway_timeout_rate_pct,bank_latency_ms,bank_failure_rate_pct,bank_timeout_rate_pct,total_latency_ms,transaction_age_ms,retry_count,order_amount_inr,error_code_category,is_timeout_flag,true_network_degradation,true_gateway_degradation,true_bank_degradation
2,4G/LTE,71.75,0.5656,10.03,661.45,0.4109,0.4058,252.12,0.2214,1.711,985.32,845.93,3,40175.96,0,1,8.73,66.48,15.44
2,3G,246.17,1.7115,11.95,1069.7,0.2954,0.4063,302.47,0.1355,1.1165,1618.34,6978.66,2,3684.64,2,1,26.42,74.12,7.5
1,Wi-Fi 6/7,33.72,0.0205,4.31,84.72,0.1959,0.2638,745.59,0.8496,2.6385,864.03,533.88,1,31767.61,3,1,1.59,21.64,65.24
2,2G/EDGE,737.25,2.4742,26.48,1162.02,0.2505,0.4999,398.11,0.2243,1.2148,2297.38,1611.95,0,35216.28,2,1,64.03,80.44,15.35
2,Wi-Fi 6/7,8.2,0.2686,4.75,810.47,0.3808,0.3273,397.61,0.2876,1.1793,1216.28,2357.2,1,39113.45,2,0,2.4,65.15,15.92
2,5G,31.64,0.2646,2.85,815.61,0.4783,0.482,381.01,0.2348,1.2002,1228.26,2485.43,2,8649.76,2,1,2.52,81.51,14.46
1,4G/LTE,111.08,0.8542,4.53,49.3,0.1384,0.2064,1013.71,1.0221,2.8684,1174.09,5973.49,1,6173.03,3,1,11.21,12.89,85.18
2,5G,56.35,0.0366,7.93,1177.11,0.3663,0.3309,242.81,0.1811,1.2926,1476.27,6846.76,0,29658.02,0,0,4.05,78.16,7.98
2,4G/LTE,69.1,0.1072,3.39,919.8,0.375,0.4195,213.15,0.1161,1.4038,1202.05,6757.78,1,29479.78,2,1,3.93,74.63,7.0
1,5G,32.13,0.0296,7.89,78.35,0.0728,0.2333,790.39,1.0566,2.8033,900.87,3754.47,1,33198.05,3,1,2.57,11.29,73.65
1,5G,53.82,0.3838,7.07,45.94,0.0977,0.1637,954.41,1.0075,2.0659,1054.17,1705.02,0,10881.1,3,1,5.74,7.38,69.91
3,4G/LTE,555.52,3.1761,30.81,41.85,0.0635,0.1669,215.7,0.1487,1.0619,813.07,2673.13,1,17201.98,0,1,58.79,5.15,2.58
2,5G,15.09,0.4745,5.55,661.11,0.2345,0.492,224.14,0.2858,1.1528,900.34,3782.76,1,1829.23,2,1,3.86,60.09,6.82
2,5G,44.46,0.2879,1.5,430.87,0.416,0.4631,362.5,0.2434,1.1112,837.83,4153.37,1,24452.39,0,1,3.17,61.75,12.35
2,5G,9.98,0.0287,6.43,395.95,0.4042,0.4631,300.47,0.2384,1.4111,706.4,563.94,0,24014.39,2,1,1.44,59.66,13.66
2,Wi-Fi 6/7,38.75,0.0475,3.01,657.47,0.3577,0.3224,342.54,0.1357,1.6799,1038.76,7852.98,0,47227.98,2,0,1.68,57.57,17.96
1,5G,25.23,0.2821,1.7,120.5,0.1055,0.2297,987.67,1.193,2.3145,1133.4,7555.72,2,10440.83,0,1,2.0,14.82,78.62
3,5G,386.71,1.3122,37.05,56.9,0.0555,0.2527,321.1,0.2367,1.7878,764.71,2600.39,0,23594.42,1,0,39.46,10.54,20.31
3,4G/LTE,334.48,2.3748,49.22,77.9,0.0966,0.1926,304.24,0.282,1.24,716.62,2711.85,2,19118.44,0,0,46.24,10.32,12.06
3,3G,655.65,4.2227,62.64,84.87,0.138,0.131,362.36,0.2272,1.7479,1102.88,2531.22,2,4923.97,1,1,80.05,9.49,21.61
3,5G,450.72,3.181,20.99,75.65,0.0885,0.1357,299.45,0.1851,1.5353,825.82,7448.29,2,15467.48,1,0,49.85,6.13,14.52
1,5G,31.68,0.3226,7.75,87.13,0.1128,0.2811,985.81,0.9754,2.0885,1104.62,5895.81,0,30351.71,0,1,4.27,17.27,71.25
2,3G,129.92,0.6296,13.48,1109.07,0.2344,0.3001,377.73,0.1477,1.1228,1616.72,1732.4,2,31743.68,2,0,13.52,64.89,11.58
3,4G/LTE,636.7,2.3145,49.2,103.93,0.1143,0.267,333.21,0.184,1.0893,1073.84,752.58,1,2788.25,1,1,63.65,17.12,9.5
2,Wi-Fi 6/7,37.06,0.3642,3.53,437.94,0.2305,0.4722,245.71,0.2005,1.2716,720.71,5726.58,1,43159.84,2,1,3.63,50.22,8.15
3,4G/LTE,776.47,2.8837,56.88,82.37,0.1457,0.2816,313.24,0.1282,1.6722,1172.08,1665.72,1,45571.08,1,1,77.48,19.32,16.25
1,Wi-Fi 6/7,6.56,0.3383,2.18,79.39,0.1059,0.2798,935.58,0.7391,1.9037,1021.53,5597.47,1,43807.31,0,0,2.08,16.44,61.75
3,Wi-Fi 6/7,675.83,2.8092,24.46,98.92,0.1329,0.1846,326.7,0.1084,1.7273,1101.45,1238.77,0,29898.6,1,1,61.85,13.02,17.39
2,Wi-Fi 6/7,39.39,0.2157,1.06,840.79,0.2995,0.4697,328.62,0.1607,1.1578,1208.8,7897.69,2,34423.1,0,1,2.43,69.77,9.88
3,4G/LTE,393.9,1.7002,68.24,63.86,0.1494,0.1071,323.35,0.1539,1.1596,781.11,7174.73,3,41361.83,0,0,51.12,7.97,9.52
1,5G,9.38,0.3447,7.53,97.57,0.0689,0.2163,1035.96,1.2189,2.8791,1142.91,1310.92,0,10129.66,3,1,3.65,10.69,89.96
1,5G,20.44,0.1059,2.91,69.31,0.161,0.128,765.73,0.9403,2.4158,855.48,3606.78,2,31318.63,3,1,0.92,10.25,64.53
2,4G/LTE,86.8,0.6463,8.5,1015.8,0.4673,0.4685,291.78,0.2061,1.1357,1394.38,3549.01,0,4812.97,2,1,9.66,87.44,8.52
2,5G,49.16,0.113,6.06,828.44,0.2292,0.4923,290.41,0.2071,1.6111,1168.01,3371.23,0,30750.3,0,1,3.55,66.03,15.6
3,5G,741.33,4.3712,39.22,69.2,0.1585,0.2041,373.87,0.2487,1.2795,1184.4,7403.53,0,26899.12,1,1,79.29,14.83,15.54
