gateway_latency_ms,bank_latency_ms,total_latency_ms,packet_loss_pct,payment_stage,error_code_category,is_timeout_flag,order_amount_inr,retry_count,action_label
232.17,579.44,811.62,2.36,0,0,0,10969.87,0,0
1519.0,351.18,1870.17,1.81,2,1,0,13063.37,0,1
636.21,489.99,1126.19,4.42,2,0,0,12988.43,0,0
1639.47,914.15,2553.62,4.41,1,0,1,10020.19,1,2
417.44,1141.98,1559.42,1.18,1,3,0,1795.05,0,0
1346.55,644.23,1990.78,2.33,2,1,0,13203.99,2,1
393.84,2275.21,2669.05,1.69,0,1,0,7595.78,2,1
1656.83,1846.26,3503.09,6.52,1,0,1,9251.12,0,2
107.07,446.43,553.5,0.46,1,1,0,10294.72,0,1
496.37,580.49,1076.87,8.63,1,0,0,12131.42,0,1
1670.51,318.31,1988.82,6.75,2,3,0,12485.56,1,0
2512.54,314.43,2826.97,9.05,1,0,1,1924.97,0,2
432.64,507.64,940.28,0.64,2,2,1,14473.89,0,2
269.65,31.47,301.12,2.83,2,3,0,14670.02,1,0
486.04,153.46,639.5,0.95,1,0,0,14218.72,0,0
129.66,2726.44,2856.1,7.62,2,3,0,9124.92,2,0
275.75,608.41,884.16,7.13,0,0,0,5809.15,1,1
3487.32,430.8,3918.12,6.57,2,0,1,3658.79,0,2
1198.95,808.5,2007.45,2.44,1,0,0,1884.42,0,0
2229.54,207.97,2437.51,7.99,3,3,0,9065.13,0,0
733.73,535.1,1268.83,3.66,1,0,0,1342.35,0,0
1462.92,3898.24,5361.16,1.72,1,1,0,7385.37,0,1
1403.48,261.92,1665.4,2.92,1,3,0,14280.37,0,0
113.65,3382.85,3496.5,1.43,1,1,0,7513.73,0,1
220.01,825.97,1045.99,0.63,2,1,0,3832.2,0,1
785.66,188.34,973.99,8.62,0,1,0,10620.27,1,1
1177.89,49.34,1227.23,3.63,2,2,1,12583.84,1,2
51.35,540.02,591.37,3.7,1,3,0,6886.98,0,0
92.8,1147.4,1240.21,2.77,2,0,0,1149.86,0,0
2170.93,317.62,2488.55,9.59,2,0,0,11591.25,0,1
2068.64,2677.12,4745.76,2.43,0,1,0,11233.65,0,1
822.14,851.98,1674.12,4.59,2,1,0,14068.47,0,1
607.69,552.74,1160.43,3.87,1,1,0,2252.1,0,1
2226.7,865.13,3091.83,1.71,1,0,1,8196.75,0,2
475.36,296.33,771.69,6.11,2,2,1,4255.19,0,2
1865.42,1140.88,3006.3,2.43,0,3,0,11762.91,0,0
1348.06,338.68,1686.73,0.76,2,2,1,8221.74,0,2
1154.55,91.37,1245.92,0.5,2,3,0,10786.0,0,0
2320.45,49.31,2369.77,1.53,3,2,1,4603.92,0,2
65.05,39.08,104.13,7.67,1,0,0,12906.59,0,1
25.58,2166.46,2192.04,1.23,2,1,0,2353.84,2,1
883.51,966.25,1849.76,3.9,3,0,0,8231.67,0,0
72.38,1500.36,1572.74,1.88,0,0,0,6944.26,0,0
440.39,573.78,1014.17,0.95,1,0,0,5169.32,0,0
243.76,662.56,906.32,4.59,2,0,0,9460.28,0,0
634.0,2075.38,2709.38,1.47,1,0,1,6662.48,2,2
344.57,1036.12,1380.69,1.66,3,0,0,14631.14,0,0
1127.92,138.22,1266.14,1.71,1,0,0,13993.42,0,0
168.57,2141.79,2310.37,0.62,3,2,1,6064.92,0,2
463.01,493.53,956.54,0.18,2,0,0,9271.73,0,0
80.44,516.97,597.4,1.51,1,0,0,8335.29,0,0
1215.2,2045.68,3260.88,3.44,3,0,1,1171.41,0,2
238.26,45.23,283.49,2.25,0,1,0,611.04,0,1
790.4,503.72,1294.12,10.15,3,0,1,12293.57,0,2
1360.89,1159.55,2520.44,1.1,2,0,1,8363.85,2,2
806.5,40.18,846.68,3.49,1,0,0,10675.08,0,0
845.31,1113.78,1959.09,2.11,2,0,0,14841.31,0,0
1082.63,414.0,1496.63,7.36,2,0,0,6948.26,0,1
